Title,View Count
そうはくchのテーマソング,108
【小学生スプラ配信】8歳の冬休みスプラトゥーン！！！！,57
【小2年スプラ配信者】スプラトゥーン3　眠たくなるまで配信します！,38
【小2スプラトゥーン配信者】ボウリングいってきた！あけましておめでとうスプラ配信！,21
【小2スプラ配信】大阪からマイクが到着！！！怒らずに今日こそ配信成功させるぞ！,25
【小2スプラ配信】Xマッチをやっていくぜ！！！！！,14
【小2スプラ配信】おやすみ前なので長い時間やります！！！！,26
大阪が恋しい東京在住小学2年生が関西弁でスプラトゥーンのフェスをやっていく【Splatoon3】,14
【小2マリカー配信】　たまにはマリオカートもやっちゃいます！！！！！！,18
【小２スプラ配信】またモヤフェスやぞい！フェスをやっていく！,14
【小２あつ森配信】あつ森もやるぞ！！！！,24
【小2スプラ配信】Xマッチやっていく！,46
【小2スプラ配信】熱から復帰スプラ！,11
【小2スプラ配信】まいくら！,12
【小2スプラ配信】Xマッチ！！！！！,42
【小2スプラ配信】疲れマッチ,14
【小2スプラ配信】友達とやるガチマ,68
【小2スプラ配信】友達とサーモンランをやっていくぜ！！！,31
【小2スプラ配信】友達とスプラトゥーンをやっていくぜ！！！,27
【小2スプラ配信】友達とスプラをやっていくぜ！！！,22
【小学生 スプラ配信】友達とスプラトゥーンをやっていきます！！！！,26
【小学生 スプラ配信】2時間友達とスプラをやっていきます！！！！,21
【小学生 スプラ配信】バスシュミレーターをやっていきます！,34
【小学生 スプラ配信】もう直ぐ一ヶ月！スプラトゥーンをやっていきます！！！！,31
【小学生 スプラ配信】ともだちとスプラトゥーン！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,18
【Mine Craft : Bus Driving Simulator 24 - City Roads】小学生が友達とゲームをやっていきます！(主にマイクラ),11
【小学生 スプラ配信】スプラをやりこむ！！！,26
【小学生 スプラ配信】友達とマイクラをやっていきます！！！！,6
【小学生 スプラ配信】チャンネル開設1ヶ月記念配信！！！！,13
【小学生 スプラ配信】友達とマイクラ！！！！,7
【小学生 スプラ配信】この配信に似合うタイトルを付けて見て！！！！,25
【小学生 スプラ配信】友達とマイクラをやっていきます！！！！,21
【小学生 アストロニーア配信】ASTRONEERをやっていきます！！！！,8
【小学生 アストロニーア配信】最高な星！！パート１,7
【小学生 スプラ配信】土曜日が恋しいまっち！！！！,11
【小学生 マインクラフト配信】友達とマイクラをやっていきます！！！！,6
【小学生 アストロニーア配信】最高な星！！！！パート２,8
【小学生 スプラ配信】宗伯チャンネルのテーマソングが100回視聴に達したから配信！！！！！,10
【小学生 アストロニーア配信】最高な星！パート3,10
【小学生 アストロニーア配信】最高な星パート4,5
【小学生 アストロニーア配信】最高な星！パート４,7
【小学生 スプラ配信】今日こそ22！！！！！！,44
【小学生 ポケモン配信】ポケモンをやっていきます！！！！,6
【小学生 スプラ配信】スプラトゥーンをやっていきます！！！！,37
【小学生 アストロニーア配信】飛行機を作ろう！,25
【小学生 スプラ配信】30分だけ友達とやって、1時間XP2200を目指します！！,11
【小学生 スプラ配信】色んなゲームをやっていきます！！！！,16
【小学生 スプラ配信】もう直ぐまたフェス！！！,19
【小学生 アストロニーア配信】最高な星！！！！,8
【小学生　スプラ配信】XP2100を目指していく！！！,28
【小学生 アストロにーア配信】最高な星！！！！♯6,8
【小学生 スプラ配信】昨日は19帯に落ちちゃったから今日は2100帯！！！！,31
【小学生 シティーズスカイライン配信】日本！！！！,15
【小学生 スプラ配信】xpをあげる！！1985~,7
【小学生 スプラ配信】色んなゲームをやっていくPart2,8
